City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Jamestown,US,42.097,-79.2353,38.84,72,40,8.05,scattered clouds
1,Cayenne,GF,4.9333,-52.3333,75.24,88,0,0.0,clear sky
2,Bakchar,RU,57.0186,82.0711,32.86,91,100,11.27,overcast clouds
3,Airai,TL,-8.9266,125.4092,71.74,73,82,1.5,broken clouds
4,Killarney,IE,52.05,-9.5167,45.28,90,86,11.99,overcast clouds
5,Makakilo City,US,21.3469,-158.0858,77.32,81,0,5.75,clear sky
6,Ribeira Grande,PT,38.5167,-28.7,54.77,88,99,4.0,overcast clouds
7,Hobart,AU,-42.8794,147.3294,66.06,51,20,11.5,few clouds
8,Hilo,US,19.7297,-155.09,76.28,91,40,5.75,scattered clouds
9,Andenes,NO,69.3143,16.1194,24.78,86,20,25.32,few clouds
10,Cape Town,ZA,-33.9258,18.4232,64.81,90,100,14.97,moderate rain
11,Raigarh,IN,21.9,83.4,92.03,27,4,4.23,clear sky
12,East London,ZA,-33.0153,27.9116,71.6,79,2,12.71,clear sky
13,Uzhur,RU,55.3036,89.8339,35.92,59,100,11.74,overcast clouds
14,Severo-Kurilsk,RU,50.6789,156.125,24.58,71,97,34.81,light snow
15,Vaini,TO,-21.2,-175.2,79.83,80,95,17.05,overcast clouds
16,Gdov,RU,58.7406,27.8122,39.79,80,85,18.03,overcast clouds
17,Hambantota,LK,6.1241,81.1185,86.34,79,75,3.44,broken clouds
18,Sur,OM,22.5667,59.5289,75.24,61,0,6.06,clear sky
19,Ushuaia,AR,-54.8,-68.3,40.66,70,40,6.91,scattered clouds
20,Kapaa,US,22.0752,-159.319,75.52,86,40,6.91,light rain
21,Sorland,NO,67.667,12.6934,26.46,47,100,15.14,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,62.02,76,58,4.25,broken clouds
23,Bluff,NZ,-46.6,168.3333,57.79,67,99,18.9,overcast clouds
24,Kourou,GF,5.1552,-52.6478,75.25,84,100,6.8,overcast clouds
25,Atuona,PF,-9.8,-139.0333,80.82,72,1,13.18,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,81.99,77,100,4.5,overcast clouds
27,Portland,US,45.5234,-122.6762,39.78,92,75,4.61,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,78.37,72,100,8.25,light rain
29,Sheridan,US,44.8333,-106.9173,35.98,84,100,12.66,overcast clouds
30,Vradiyivka,UA,47.862,30.5919,49.06,76,100,12.06,overcast clouds
31,Kavieng,PG,-2.5744,150.7967,83.53,69,100,5.41,light rain
32,Riyadh,SA,24.6877,46.7219,69.94,28,1,15.77,clear sky
33,Torbay,CA,47.6666,-52.7314,30.27,95,100,31.0,heavy snow
34,Langsa,ID,4.4683,97.9683,91.54,51,85,5.3,overcast clouds
35,Albany,US,42.6001,-73.9662,35.4,74,36,1.99,scattered clouds
36,New Norfolk,AU,-42.7826,147.0587,65.71,44,91,4.0,overcast clouds
37,Tsumeb,NA,-19.2333,17.7167,66.18,79,94,7.47,overcast clouds
38,Leningradskiy,RU,69.3833,178.4167,-8.9,90,6,5.01,clear sky
39,Saint George,US,37.1041,-113.5841,45.43,41,20,5.99,few clouds
40,Ambon,ID,-3.6954,128.1814,89.74,70,40,9.22,scattered clouds
41,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,0.0,clear sky
42,Dikson,RU,73.5069,80.5464,5.97,94,99,12.19,overcast clouds
43,Qaanaaq,GL,77.484,-69.3632,-9.89,64,7,7.09,clear sky
44,Hermanus,ZA,-34.4187,19.2345,63.5,73,23,7.94,few clouds
45,Raymond,US,43.9015,-70.4703,33.75,75,79,3.04,broken clouds
46,Marzuq,YE,14.4,46.4667,73.71,64,82,6.24,broken clouds
47,Butaritari,KI,3.0707,172.7902,81.23,80,76,14.0,light rain
48,Busselton,AU,-33.65,115.3333,74.23,59,61,14.2,broken clouds
49,Tasiilaq,GL,65.6145,-37.6368,8.76,62,54,6.35,broken clouds
50,Henties Bay,NA,-22.116,14.2845,61.27,81,0,7.36,clear sky
51,Saint-Pierre,RE,-21.3393,55.4781,82.08,69,0,9.22,clear sky
52,Flinders,AU,-34.5833,150.8552,72.05,83,100,4.0,light rain
53,Trinidad,BO,-14.8333,-64.9,70.38,97,94,2.71,overcast clouds
54,Boa Vista,BR,2.8197,-60.6733,80.58,65,0,9.22,clear sky
55,Sao Filipe,CV,14.8961,-24.4956,70.83,72,37,9.17,scattered clouds
