City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2023-03-22 06:49:58,-54.8,-68.3,47.86,66,0,16.11
1,Hilo,US,2023-03-22 06:46:07,19.7297,-155.09,74.93,88,75,6.91
2,Kaitangata,NZ,2023-03-22 06:49:58,-46.2817,169.8464,51.53,70,84,8.28
3,Atuona,PF,2023-03-22 06:49:59,-9.8,-139.0333,79.81,77,17,9.82
4,Lagoa,PT,2023-03-22 06:49:59,39.05,-27.9833,58.68,83,100,17.92
5,Shu,KZ,2023-03-22 06:50:00,43.5983,73.7614,48.65,53,100,1.7
6,Hofn,IS,2023-03-22 06:50:00,64.2539,-15.2082,31.26,87,100,40.06
7,Butaritari,KI,2023-03-22 06:50:01,3.0707,172.7902,81.03,79,15,13.11
8,Vangaindrano,MG,2023-03-22 06:50:02,-23.35,47.6,78.37,85,50,4.14
9,Pevek,RU,2023-03-22 06:50:02,69.7008,170.3133,-11.22,98,100,17.67
10,Punta Arenas,CL,2023-03-22 06:50:03,-53.15,-70.9167,48.31,76,0,21.85
11,Mogadishu,SO,2023-03-22 06:50:03,2.0371,45.3438,84.04,71,30,12.41
12,La Ronge,CA,2023-03-22 06:50:04,55.1001,-105.2842,3.45,85,0,3.44
13,Ribeira Grande,PT,2023-03-22 06:50:04,38.5167,-28.7,60.78,93,100,14.0
14,Urumqi,CN,2023-03-22 06:49:53,43.801,87.6005,38.35,48,0,6.71
15,Te Anau,NZ,2023-03-22 06:50:05,-45.4167,167.7167,48.47,76,3,4.32
16,Mizan Teferi,ET,2023-03-22 06:50:06,6.9833,35.5833,78.66,37,100,0.96
17,Saskylakh,RU,2023-03-22 06:50:06,71.9167,114.0833,1.2,90,100,18.23
18,Marsh Harbour,BS,2023-03-22 06:48:11,26.5412,-77.0636,70.99,67,84,17.31
19,Mataura,NZ,2023-03-22 06:50:08,-46.1927,168.8643,49.98,77,100,4.27
20,Rikitea,PF,2023-03-22 06:50:08,-23.1203,-134.9692,78.94,79,9,15.84
